,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
115,-122.25,37.83,52.0,1279,287,534,291,3,231600,NEAR BAY
116,-122.25,37.83,28.0,5022,1750,2558,1661,2,218500,NEAR BAY
117,-122.25,37.83,52.0,4190,1105,1786,1037,3,234100,NEAR BAY
118,-122.23,37.84,50.0,2515,399,970,373,5,327600,NEAR BAY
119,-122.23,37.84,47.0,3175,454,1098,485,5,347600,NEAR BAY
120,-122.24,37.83,41.0,2576,406,794,376,5,366100,NEAR BAY
121,-122.24,37.85,37.0,334,54,98,47,4,335000,NEAR BAY
122,-122.23,37.85,52.0,2800,411,1061,403,6,373600,NEAR BAY
123,-122.24,37.84,52.0,3529,574,1177,555,5,389500,NEAR BAY
124,-122.24,37.85,52.0,2612,365,901,367,7,391100,NEAR BAY
125,-122.22,37.85,28.0,5287,1048,2031,956,5,337300,NEAR BAY
126,-122.22,37.84,50.0,2935,473,1031,479,7,295200,NEAR BAY
127,-122.21,37.84,44.0,3424,597,1358,597,6,292300,NEAR BAY
128,-122.21,37.83,40.0,4991,674,1616,654,7,411500,NEAR BAY
129,-122.2,37.84,30.0,2211,346,844,343,6,311500,NEAR BAY
130,-122.21,37.84,34.0,3038,490,1140,496,7,325900,NEAR BAY
131,-122.19,37.84,18.0,1617,210,533,194,11,392600,NEAR BAY
132,-122.2,37.84,35.0,2865,460,1072,443,7,319300,NEAR BAY
133,-122.21,37.83,34.0,5065,788,1627,766,6,333300,NEAR BAY
134,-122.19,37.83,28.0,1326,184,463,190,8,335200,NEAR BAY
135,-122.2,37.83,26.0,1589,223,542,211,8,351200,NEAR BAY
136,-122.19,37.83,29.0,1791,271,661,269,6,368900,NEAR BAY
137,-122.19,37.82,32.0,1835,264,635,263,8,365900,NEAR BAY
138,-122.2,37.82,37.0,1229,181,420,176,7,366700,NEAR BAY
139,-122.2,37.82,39.0,3770,534,1265,500,6,362800,NEAR BAY
140,-122.18,37.81,30.0,292,38,126,52,6,483300,NEAR BAY
141,-122.21,37.82,52.0,2375,333,813,350,7,331400,NEAR BAY
142,-122.2,37.81,45.0,2964,436,1067,426,6,323500,NEAR BAY
143,-122.21,37.8,50.0,2833,605,1260,552,2,216700,NEAR BAY
144,-122.21,37.8,38.0,2254,535,951,487,3,233100,NEAR BAY
145,-122.21,37.81,52.0,1389,212,510,224,5,296400,NEAR BAY
146,-122.22,37.81,52.0,1971,335,765,308,6,273700,NEAR BAY
147,-122.22,37.8,52.0,2183,465,1129,460,3,227700,NEAR BAY
148,-122.22,37.8,52.0,2286,464,1073,441,3,199600,NEAR BAY
149,-122.22,37.8,52.0,2721,541,1185,515,4,239800,NEAR BAY
150,-122.22,37.81,52.0,2024,339,756,340,4,270100,NEAR BAY
151,-122.22,37.81,52.0,2944,536,1034,521,5,302100,NEAR BAY
152,-122.23,37.8,52.0,2033,486,787,459,3,269500,NEAR BAY
153,-122.23,37.81,52.0,1433,229,612,213,4,314700,NEAR BAY
154,-122.22,37.81,52.0,2927,402,1021,380,8,390100,NEAR BAY
155,-122.23,37.81,52.0,2315,292,861,258,8,410300,NEAR BAY
156,-122.24,37.81,52.0,2485,313,953,327,6,352400,NEAR BAY
157,-122.24,37.81,52.0,1490,238,634,256,6,287300,NEAR BAY
158,-122.23,37.81,52.0,2814,365,878,352,7,348700,NEAR BAY
159,-122.24,37.81,52.0,2093,550,918,483,2,243800,NEAR BAY
160,-122.24,37.8,52.0,888,168,360,175,2,211500,NEAR BAY
161,-122.25,37.8,52.0,2087,510,1197,488,3,218400,NEAR BAY
162,-122.24,37.81,52.0,2513,502,1048,518,3,269900,NEAR BAY
163,-122.25,37.81,46.0,3232,835,1373,747,3,218800,NEAR BAY
164,-122.25,37.8,42.0,4120,1065,1715,1015,2,225000,NEAR BAY
165,-122.25,37.8,43.0,2364,792,1359,722,2,250000,NEAR BAY
166,-122.25,37.8,41.0,1471,469,1062,413,1,171400,NEAR BAY
167,-122.25,37.8,29.0,2468,864,1335,773,1,193800,NEAR BAY
168,-122.24,37.79,27.0,1632,492,1171,429,2,125000,NEAR BAY
169,-122.25,37.79,45.0,1786,526,1475,460,1,97500,NEAR BAY
170,-122.25,37.79,50.0,629,188,742,196,2,125000,NEAR BAY
171,-122.25,37.79,52.0,1339,391,1086,363,2,138800,NEAR BAY
172,-122.25,37.8,36.0,1678,606,1645,543,2,116700,NEAR BAY
173,-122.25,37.8,43.0,2344,647,1710,644,1,151800,NEAR BAY
174,-122.24,37.8,52.0,996,228,731,228,2,127000,NEAR BAY
175,-122.24,37.8,52.0,1591,373,1118,347,2,128600,NEAR BAY
176,-122.24,37.8,52.0,1586,398,1006,335,2,140600,NEAR BAY
177,-122.24,37.8,47.0,2046,588,1213,554,2,182700,NEAR BAY
178,-122.23,37.8,52.0,1192,289,772,257,2,146900,NEAR BAY
179,-122.24,37.8,52.0,1803,420,1321,401,2,122800,NEAR BAY
180,-122.24,37.8,49.0,2838,749,1487,677,2,169300,NEAR BAY
181,-122.23,37.8,52.0,783,184,488,186,1,126600,NEAR BAY
182,-122.23,37.8,51.0,1590,414,949,392,1,127900,NEAR BAY
183,-122.23,37.8,50.0,1746,480,1149,415,2,123500,NEAR BAY
184,-122.23,37.8,52.0,1252,299,844,280,2,111900,NEAR BAY
185,-122.23,37.79,43.0,5963,1344,4367,1231,2,112800,NEAR BAY
186,-122.23,37.79,52.0,1783,395,1659,412,2,107900,NEAR BAY
187,-122.23,37.79,30.0,999,264,1011,263,1,137500,NEAR BAY
188,-122.24,37.79,39.0,1469,431,1464,389,2,105500,NEAR BAY
189,-122.24,37.79,47.0,1372,395,1237,303,2,95500,NEAR BAY
190,-122.24,37.79,52.0,674,180,647,168,3,116100,NEAR BAY
191,-122.24,37.79,43.0,1626,376,1284,357,2,112200,NEAR BAY
192,-122.25,37.79,51.0,175,43,228,55,2,75000,NEAR BAY
193,-122.25,37.79,39.0,461,129,381,123,1,112500,NEAR BAY
194,-122.25,37.79,52.0,902,237,846,227,3,125000,NEAR BAY
195,-122.26,37.8,20.0,2373,779,1659,676,1,115000,NEAR BAY
196,-122.22,37.77,52.0,391,128,520,138,1,95000,NEAR BAY
197,-122.22,37.77,52.0,1137,301,866,259,2,96400,NEAR BAY
198,-122.23,37.77,52.0,769,206,612,183,2,72000,NEAR BAY
199,-122.23,37.78,52.0,472,146,415,126,2,71300,NEAR BAY
200,-122.23,37.78,52.0,862,215,994,213,3,80800,NEAR BAY
201,-122.22,37.78,50.0,1920,530,1525,477,1,128800,NEAR BAY
202,-122.23,37.78,43.0,1420,472,1506,438,1,112500,NEAR BAY
203,-122.23,37.78,52.0,986,258,1008,255,1,119400,NEAR BAY
204,-122.23,37.78,44.0,2340,825,2813,751,1,118100,NEAR BAY
205,-122.23,37.79,48.0,1696,396,1481,343,2,122500,NEAR BAY
206,-122.23,37.79,49.0,1175,217,859,219,2,106300,NEAR BAY
207,-122.22,37.79,37.0,2343,574,1608,523,2,132500,NEAR BAY
208,-122.23,37.79,30.0,610,145,425,140,1,122700,NEAR BAY
209,-122.23,37.79,40.0,930,199,564,184,1,113300,NEAR BAY
210,-122.22,37.79,44.0,1487,314,961,272,3,109500,NEAR BAY
211,-122.22,37.79,52.0,3424,690,2273,685,3,164700,NEAR BAY
212,-122.21,37.79,52.0,762,190,600,195,3,125000,NEAR BAY
213,-122.22,37.79,46.0,2366,575,1647,527,2,124700,NEAR BAY
214,-122.22,37.79,49.0,1826,450,1201,424,2,136700,NEAR BAY
215,-122.22,37.79,38.0,3049,711,2167,659,2,141700,NEAR BAY
216,-122.2,37.79,29.0,1640,376,939,340,2,150000,NEAR BAY
217,-122.21,37.79,47.0,1543,307,859,292,2,138800,NEAR BAY
218,-122.21,37.79,34.0,2364,557,1517,516,2,139200,NEAR BAY
219,-122.21,37.79,35.0,1745,409,1143,386,2,143800,NEAR BAY
220,-122.21,37.8,39.0,2003,500,1109,464,3,156500,NEAR BAY
221,-122.21,37.8,39.0,2018,447,1221,446,3,151000,NEAR BAY
222,-122.2,37.8,43.0,3045,499,1115,455,4,273000,NEAR BAY
223,-122.2,37.8,52.0,1547,293,706,268,4,217100,NEAR BAY
224,-122.21,37.8,52.0,3519,711,1883,706,3,187100,NEAR BAY
225,-122.2,37.8,41.0,2070,354,804,340,5,239600,NEAR BAY
226,-122.21,37.8,48.0,1321,263,506,252,4,229700,NEAR BAY
227,-122.19,37.8,48.0,1694,259,610,238,4,257300,NEAR BAY
228,-122.19,37.8,46.0,1938,341,768,332,4,246900,NEAR BAY
229,-122.19,37.79,50.0,968,195,462,184,2,179900,NEAR BAY
230,-122.2,37.79,40.0,1060,256,667,235,4,169600,NEAR BAY
231,-122.2,37.8,46.0,2041,405,1059,399,3,203300,NEAR BAY
232,-122.19,37.8,52.0,1813,271,637,277,4,263400,NEAR BAY
233,-122.19,37.79,45.0,2718,451,1106,454,4,231800,NEAR BAY
234,-122.19,37.79,28.0,3144,761,1737,669,2,140500,NEAR BAY
235,-122.2,37.79,35.0,1802,459,1009,390,2,126000,NEAR BAY
236,-122.2,37.79,49.0,882,195,737,210,2,122000,NEAR BAY
237,-122.2,37.79,44.0,1621,452,1354,491,2,134700,NEAR BAY
238,-122.21,37.79,45.0,2115,533,1530,474,2,139400,NEAR BAY
239,-122.2,37.79,45.0,2021,528,1410,480,2,115400,NEAR BAY
240,-122.21,37.78,46.0,2239,508,1390,569,2,137300,NEAR BAY
241,-122.21,37.78,52.0,1477,300,1065,269,1,137000,NEAR BAY
242,-122.21,37.78,52.0,1056,224,792,245,2,142600,NEAR BAY
243,-122.21,37.78,49.0,898,244,779,245,3,137500,NEAR BAY
244,-122.22,37.78,44.0,2968,710,2269,610,2,111700,NEAR BAY
245,-122.21,37.78,43.0,1702,460,1227,407,1,126800,NEAR BAY
246,-122.21,37.78,47.0,881,248,753,241,2,111300,NEAR BAY
247,-122.22,37.77,40.0,494,114,547,135,2,114800,NEAR BAY
248,-122.22,37.78,50.0,1776,473,1807,440,1,102300,NEAR BAY
249,-122.22,37.78,44.0,1678,514,1700,495,2,131900,NEAR BAY
250,-122.22,37.78,51.0,1637,463,1543,393,2,119100,NEAR BAY
251,-122.21,37.76,52.0,1420,314,1085,300,1,80600,NEAR BAY
252,-122.21,37.77,52.0,591,173,353,137,4,80600,NEAR BAY
253,-122.21,37.77,52.0,745,153,473,149,2,88800,NEAR BAY
254,-122.2,37.77,49.0,2272,498,1621,483,2,102400,NEAR BAY
255,-122.21,37.77,46.0,1234,375,1183,354,2,98700,NEAR BAY
256,-122.21,37.77,43.0,1017,328,836,277,2,100000,NEAR BAY
257,-122.19,37.77,42.0,932,254,900,263,1,92300,NEAR BAY
258,-122.2,37.77,39.0,2689,597,1888,537,2,94800,NEAR BAY
259,-122.2,37.77,41.0,1547,415,1024,341,2,102000,NEAR BAY
260,-122.2,37.78,52.0,2300,443,1225,423,3,158400,NEAR BAY
261,-122.2,37.78,39.0,1752,399,1071,376,3,121600,NEAR BAY
262,-122.2,37.78,50.0,1867,403,1128,378,2,129100,NEAR BAY
263,-122.2,37.77,43.0,2430,502,1537,484,2,121400,NEAR BAY
264,-122.21,37.78,44.0,1729,414,1240,393,2,102800,NEAR BAY
265,-122.19,37.78,52.0,1026,180,469,168,2,160000,NEAR BAY
266,-122.19,37.77,52.0,2170,428,1086,425,3,143900,NEAR BAY
267,-122.19,37.77,52.0,2329,445,1144,417,3,151200,NEAR BAY
268,-122.19,37.78,52.0,2492,415,1109,375,4,164400,NEAR BAY
269,-122.19,37.78,52.0,2198,397,984,369,3,156500,NEAR BAY
270,-122.18,37.78,33.0,142,31,575,47,3,225000,NEAR BAY
271,-122.19,37.78,49.0,1183,205,496,209,5,174200,NEAR BAY
272,-122.19,37.78,52.0,1070,193,555,190,3,166900,NEAR BAY
273,-122.2,37.78,45.0,1766,332,869,327,4,163500,NEAR BAY
274,-122.18,37.79,39.0,617,95,236,106,5,253000,NEAR BAY
275,-122.18,37.79,41.0,1411,233,626,214,7,240700,NEAR BAY
276,-122.18,37.79,46.0,2109,387,922,329,3,208100,NEAR BAY
277,-122.19,37.79,47.0,1229,243,582,256,2,198100,NEAR BAY
278,-122.19,37.79,50.0,954,217,546,201,2,172800,NEAR BAY
279,-122.18,37.81,37.0,1643,262,620,266,5,336700,NEAR BAY
280,-122.18,37.8,34.0,1355,195,442,195,6,318200,NEAR BAY
281,-122.18,37.8,23.0,2317,336,955,328,6,285800,NEAR BAY
282,-122.13,37.77,24.0,2459,317,916,324,7,293000,NEAR BAY
283,-122.16,37.79,22.0,12842,2048,4985,1967,5,371000,NEAR BAY
284,-122.17,37.78,42.0,1524,260,651,267,3,157300,NEAR BAY
285,-122.17,37.77,30.0,3326,746,1704,703,2,135300,NEAR BAY
286,-122.18,37.78,43.0,1985,440,1085,407,3,136700,NEAR BAY
287,-122.18,37.78,50.0,1642,322,713,284,3,160700,NEAR BAY
288,-122.17,37.78,49.0,893,177,468,181,3,140600,NEAR BAY
289,-122.17,37.78,52.0,653,128,296,121,4,144000,NEAR BAY
291,-122.16,37.77,48.0,977,194,446,180,4,156300,NEAR BAY
292,-122.16,37.77,45.0,2324,397,968,384,3,176000,NEAR BAY
293,-122.16,37.77,39.0,1583,349,857,316,3,145800,NEAR BAY
294,-122.17,37.77,39.0,1612,342,912,322,3,141900,NEAR BAY
295,-122.17,37.77,31.0,2424,533,1360,452,1,90700,NEAR BAY
296,-122.17,37.76,41.0,1594,367,1074,355,1,90600,NEAR BAY
297,-122.17,37.76,47.0,2118,413,965,382,2,107900,NEAR BAY
298,-122.18,37.76,37.0,1575,358,933,320,2,107000,NEAR BAY
299,-122.17,37.76,38.0,1764,397,987,354,2,98200,NEAR BAY
300,-122.18,37.76,50.0,1187,261,907,246,1,89500,NEAR BAY
301,-122.18,37.76,52.0,754,175,447,165,3,93800,NEAR BAY
302,-122.18,37.76,49.0,2308,452,1299,451,1,96700,NEAR BAY
303,-122.18,37.77,27.0,909,236,396,157,2,97500,NEAR BAY
304,-122.18,37.77,42.0,1180,257,877,268,2,97300,NEAR BAY
305,-122.18,37.76,43.0,2018,408,1111,367,1,91200,NEAR BAY
306,-122.19,37.76,49.0,1368,282,790,269,1,91400,NEAR BAY
307,-122.18,37.77,52.0,2744,547,1479,554,2,96200,NEAR BAY
308,-122.18,37.77,51.0,2107,471,1173,438,3,120100,NEAR BAY
309,-122.18,37.77,52.0,1748,362,1029,366,2,100000,NEAR BAY
310,-122.19,37.76,52.0,2024,391,1030,350,2,94700,NEAR BAY
311,-122.2,37.76,47.0,1116,259,826,279,1,85700,NEAR BAY
312,-122.19,37.77,41.0,2036,510,1412,454,2,89300,NEAR BAY
313,-122.19,37.77,45.0,1852,393,1132,349,2,101400,NEAR BAY
314,-122.19,37.76,41.0,921,207,522,159,1,72500,NEAR BAY
315,-122.19,37.76,45.0,995,238,630,237,1,74100,NEAR BAY
316,-122.2,37.75,36.0,606,132,531,133,1,70000,NEAR BAY
317,-122.2,37.76,37.0,2680,736,1925,667,1,84600,NEAR BAY
318,-122.19,37.76,38.0,1493,370,1144,351,0,81800,NEAR BAY
319,-122.19,37.75,19.0,2207,565,1481,520,1,81400,NEAR BAY
320,-122.19,37.75,28.0,856,189,435,162,0,81800,NEAR BAY
321,-122.19,37.76,26.0,1293,297,984,303,1,85800,NEAR BAY
322,-122.19,37.74,36.0,847,212,567,159,1,87100,NEAR BAY
323,-122.18,37.74,42.0,541,154,380,123,2,83500,NEAR BAY
324,-122.19,37.73,44.0,1066,253,825,244,2,79700,NEAR BAY
325,-122.19,37.74,43.0,707,147,417,155,2,83400,NEAR BAY
326,-122.19,37.73,45.0,1528,291,801,287,1,84700,NEAR BAY
327,-122.18,37.73,42.0,909,215,646,198,2,80000,NEAR BAY
328,-122.18,37.73,43.0,1391,293,855,285,2,76400,NEAR BAY
329,-122.18,37.73,44.0,548,119,435,136,2,79700,NEAR BAY
330,-122.18,37.73,42.0,4074,874,2736,780,2,82400,NEAR BAY
331,-122.17,37.74,41.0,1613,445,1481,414,2,97700,NEAR BAY
332,-122.17,37.74,47.0,463,134,327,137,2,97200,NEAR BAY
333,-122.17,37.74,43.0,818,193,494,179,2,101600,NEAR BAY
334,-122.17,37.73,43.0,1473,371,1231,341,2,86500,NEAR BAY
335,-122.18,37.74,35.0,504,126,323,109,1,90500,NEAR BAY
336,-122.17,37.74,46.0,1026,226,749,225,3,107600,NEAR BAY
337,-122.17,37.74,46.0,769,183,693,178,2,84200,NEAR BAY
338,-122.18,37.74,46.0,2103,391,1339,354,2,88900,NEAR BAY
339,-122.18,37.75,45.0,330,76,282,80,4,80700,NEAR BAY
340,-122.18,37.75,46.0,941,218,621,195,1,87100,NEAR BAY
342,-122.18,37.75,45.0,990,261,901,260,2,82000,NEAR BAY
343,-122.19,37.75,36.0,1126,263,482,150,1,82800,NEAR BAY
344,-122.18,37.75,43.0,1036,233,652,213,2,84600,NEAR BAY
345,-122.18,37.75,36.0,1047,214,651,166,1,82100,NEAR BAY
346,-122.17,37.76,33.0,1280,307,999,286,2,89300,NEAR BAY
347,-122.17,37.75,43.0,1587,320,907,306,1,98300,NEAR BAY
348,-122.17,37.75,41.0,1257,271,828,230,2,92300,NEAR BAY
349,-122.17,37.75,44.0,1218,248,763,254,2,88800,NEAR BAY
350,-122.17,37.75,48.0,1751,390,935,349,1,90000,NEAR BAY
351,-122.16,37.76,45.0,2299,514,1437,484,2,95500,NEAR BAY
352,-122.16,37.75,38.0,2457,624,1516,482,1,91700,NEAR BAY
353,-122.17,37.75,47.0,998,211,597,185,3,100400,NEAR BAY
354,-122.17,37.76,40.0,1685,343,949,342,1,94800,NEAR BAY
355,-122.16,37.76,46.0,1827,307,881,302,4,164300,NEAR BAY
356,-122.16,37.76,36.0,2781,574,1438,519,2,155500,NEAR BAY
357,-122.15,37.76,39.0,1823,286,763,270,6,196900,NEAR BAY
358,-122.14,37.77,27.0,2229,365,1297,355,4,279100,NEAR BAY
359,-122.14,37.76,34.0,1513,231,545,211,5,252800,NEAR BAY
360,-122.13,37.76,26.0,3266,491,1222,533,5,275400,NEAR BAY
361,-122.12,37.75,33.0,1809,261,808,219,6,250000,NEAR BAY
362,-122.12,37.75,28.0,794,111,329,109,7,329800,NEAR BAY
363,-122.14,37.75,36.0,690,105,299,109,4,195500,NEAR BAY
364,-122.14,37.75,33.0,1334,200,579,202,6,255900,NEAR BAY
365,-122.13,37.75,30.0,414,54,137,50,4,311100,NEAR BAY
366,-122.13,37.75,36.0,768,93,229,93,5,330000,NEAR BAY
367,-122.13,37.74,41.0,4400,666,1476,648,5,248900,NEAR BAY
368,-122.16,37.75,46.0,954,161,429,154,2,142900,NEAR BAY
369,-122.15,37.75,40.0,1445,256,849,255,3,126300,NEAR BAY
370,-122.15,37.75,44.0,1938,399,946,331,3,135800,NEAR BAY
371,-122.15,37.74,41.0,856,178,571,191,3,130600,NEAR BAY
372,-122.16,37.75,24.0,1790,454,1137,386,2,107900,NEAR BAY
373,-122.16,37.75,44.0,617,131,378,135,2,111100,NEAR BAY
374,-122.15,37.74,43.0,1383,275,853,272,3,122000,NEAR BAY
